PERMNO,date,TICKER,COMNAM,RET,sprtrn
89913,05/30/2014,MRLN,MARLIN BUSINESS SVCS CORP,0.219569,0.021030
89913,06/30/2014,MRLN,MARLIN BUSINESS SVCS CORP,-0.126740,0.019058
89913,07/31/2014,MRLN,MARLIN BUSINESS SVCS CORP,0.011545,-0.015080
89913,08/29/2014,MRLN,MARLIN BUSINESS SVCS CORP,0.081794,0.037655
89913,09/30/2014,MRLN,MARLIN BUSINESS SVCS CORP,-0.073812,-0.015514
89913,10/31/2014,MRLN,MARLIN BUSINESS SVCS CORP,0.153930,0.023201
89913,11/28/2014,MRLN,MARLIN BUSINESS SVCS CORP,-0.112346,0.024534
89913,12/31/2014,MRLN,MARLIN BUSINESS SVCS CORP,0.101395,-0.004189
89913,01/30/2015,MRLN,MARLIN BUSINESS SVCS CORP,-0.218217,-0.031041
89916,01/29/2010,NXST,NEXSTAR BROADCASTING GROUP INC,0.130864,-0.036974
89916,02/26/2010,NXST,NEXSTAR BROADCASTING GROUP INC,-0.017467,0.028514
89916,03/31/2010,NXST,NEXSTAR BROADCASTING GROUP INC,0.095556,0.058796
89916,04/30/2010,NXST,NEXSTAR BROADCASTING GROUP INC,0.361055,0.014759
89916,05/28/2010,NXST,NEXSTAR BROADCASTING GROUP INC,0.028316,-0.081976
89916,06/30/2010,NXST,NEXSTAR BROADCASTING GROUP INC,-0.365217,-0.053882
89916,07/30/2010,NXST,NEXSTAR BROADCASTING GROUP INC,0.232877,0.068778
89916,08/31/2010,NXST,NEXSTAR BROADCASTING GROUP INC,-0.305556,-0.047449
89916,09/30/2010,NXST,NEXSTAR BROADCASTING GROUP INC,0.373333,0.087551
89916,10/29/2010,NXST,NEXSTAR BROADCASTING GROUP INC,0.099029,0.036856
89916,11/30/2010,NXST,NEXSTAR BROADCASTING GROUP INC,-0.045936,-0.002290
89916,12/31/2010,NXST,NEXSTAR BROADCASTING GROUP INC,0.109259,0.065300
89916,01/31/2011,NXST,NEXSTAR BROADCASTING GROUP INC,-0.180300,0.022646
89916,02/28/2011,NXST,NEXSTAR BROADCASTING GROUP INC,0.421589,0.031957
89916,03/31/2011,NXST,NEXSTAR BROADCASTING GROUP INC,0.242120,-0.001047
89916,04/29/2011,NXST,NEXSTAR BROADCASTING GROUP INC,-0.038062,0.028495
89916,05/31/2011,NXST,NEXSTAR BROADCASTING GROUP INC,-0.172662,-0.013501
89916,06/30/2011,NXST,NEXSTAR BROADCASTING GROUP INC,0.189855,-0.018258
89916,07/29/2011,NXST,NEXSTAR BROADCASTING GROUP INC,0.066991,-0.021474
89916,08/31/2011,NXST,NEXSTAR BROADCASTING GROUP INC,-0.303653,-0.056791
